from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
U1073Z6,U1397Z3,2,480,,
U1073Z6,U1397Z4,2,480,,
U1073Z7,U1073Z1,2,120,,
U1073Z7,U1073Z2,2,120,,
U1073Z7,U1073Z9,2,120,,
U1073Z7,U1073Z10,2,120,,
U1073Z7,U1257Z1,2,300,,
U1073Z7,U1257Z2,2,300,,
U1073Z7,U1257Z3,2,300,,
U1073Z7,U1397Z1,2,480,,
U1073Z7,U1397Z2,2,480,,
U1073Z7,U1397Z3,2,480,,
U1073Z7,U1397Z4,2,480,,
U1073Z9,U1073Z1,2,120,,
U1073Z9,U1073Z2,2,120,,
U1073Z9,U1073Z3,2,300,,
U1073Z9,U1073Z4,2,300,,
U1073Z9,U1073Z5,2,180,,
U1073Z9,U1073Z6,2,300,,
U1073Z9,U1073Z7,2,180,,
U1073Z9,U1073Z9,2,180,,
U1073Z9,U1073Z10,2,180,,
U1073Z9,U1073Z12,2,180,,
U1073Z9,U1257Z1,2,300,,
U1073Z9,U1257Z2,2,300,,
U1073Z9,U1257Z3,2,300,,
U1073Z9,U1397Z1,2,480,,
U1073Z9,U1397Z2,2,480,,
U1073Z9,U1397Z3,2,480,,
U1073Z9,U1397Z4,2,480,,
U1073Z10,U1073Z1,2,120,,
U1073Z10,U1073Z2,2,120,,
U1073Z10,U1073Z3,2,300,,
U1073Z10,U1073Z4,2,300,,
U1073Z10,U1073Z5,2,180,,
U1073Z10,U1073Z6,2,300,,
U1073Z10,U1073Z7,2,180,,
U1073Z10,U1073Z9,2,180,,
U1073Z10,U1073Z10,2,180,,
U1073Z10,U1073Z12,2,180,,
U1073Z10,U1257Z1,2,300,,
U1073Z10,U1257Z2,2,300,,
U1073Z10,U1257Z3,2,300,,
U1073Z10,U1397Z1,2,480,,
U1073Z10,U1397Z2,2,480,,
U1073Z10,U1397Z3,2,480,,
U1073Z10,U1397Z4,2,480,,
U1073Z12,U1073Z1,2,120,,
U1073Z12,U1073Z2,2,120,,
U1073Z12,U1073Z3,2,120,,
U1073Z12,U1073Z4,2,120,,
U1073Z12,U1073Z9,2,180,,
U1073Z12,U1073Z10,2,180,,
U1073Z12,U1257Z1,2,300,,
U1073Z12,U1257Z2,2,300,,
U1073Z12,U1257Z3,2,300,,
U1073Z12,U1397Z1,2,480,,
U1073Z12,U1397Z2,2,480,,
U1073Z12,U1397Z3,2,480,,
U1073Z12,U1397Z4,2,480,,
U1078Z2,U1078Z3,2,120,,
U1078Z3,U1078Z2,2,120,,
U1097Z1,U1097Z1,2,120,,
U1097Z1,U1097Z2,2,120,,
U1097Z1,U1097Z5,2,120,,
U1097Z1,U1097Z6,2,120,,
U1097Z2,U1097Z1,2,120,,
U1097Z2,U1097Z2,2,120,,
U1097Z2,U1097Z5,2,120,,
U1097Z2,U1097Z6,2,120,,
U1097Z5,U1097Z1,2,120,,
U1097Z5,U1097Z2,2,120,,
U1097Z5,U1097Z5,2,120,,
U1097Z5,U1097Z6,2,120,,
U1097Z6,U1097Z1,2,120,,
U1097Z6,U1097Z2,2,120,,
U1097Z6,U1097Z5,2,120,,
U1097Z6,U1097Z6,2,120,,
U1121Z1,U1626Z1,2,480,,
U1121Z1,U1626Z2,2,480,,
U1121Z2,U1626Z1,2,480,,
U1121Z2,U1626Z2,2,480,,
U1128Z1,U1128Z4,2,120,,
U1128Z1,U1331Z10,2,600,,
U1128Z1,U1331Z11,2,600,,
U1128Z2,U1128Z4,2,120,,
U1128Z2,U1331Z10,2,600,,
U1128Z2,U1331Z11,2,600,,
U1128Z3,U1128Z4,2,120,,
U1128Z3,U1331Z10,2,600,,
U1128Z3,U1331Z11,2,600,,
U1128Z4,U1128Z1,2,120,,
U1128Z4,U1128Z2,2,120,,
U1128Z4,U1128Z3,2,120,,
U1128Z4,U1331Z10,2,600,,
U1128Z4,U1331Z11,2,600,,
U1131Z1,U1131Z3,2,120,,
U1131Z1,U1131Z4,2,120,,
U1131Z2,U1131Z3,2,120,,
U1131Z2,U1131Z4,2,120,,
U1131Z3,U1131Z1,2,120,,
U1131Z3,U1131Z2,2,120,,
U1131Z4,U1131Z1,2,120,,
U1131Z4,U1131Z2,2,120,,
U1132Z1,U1132Z2,2,60,,
U1132Z2,U1132Z1,2,60,,
U1144Z1,U1144Z1,2,360,,
U1144Z1,U1144Z2,2,360,,
U1144Z1,U1144Z3,2,360,,
U1144Z1,U1144Z4,2,360,,
U1144Z2,U1144Z1,2,360,,
U1144Z2,U1144Z2,2,360,,
U1144Z2,U1144Z3,2,360,,
U1144Z2,U1144Z4,2,360,,
U1144Z3,U1144Z1,2,360,,
U1144Z3,U1144Z2,2,360,,
U1144Z3,U1144Z3,2,360,,
U1144Z3,U1144Z4,2,360,,
U1144Z4,U1144Z1,2,360,,
U1144Z4,U1144Z2,2,360,,
U1144Z4,U1144Z3,2,360,,
U1144Z4,U1144Z4,2,360,,
U1146Z1,U1011Z1,2,1200,,
U1146Z1,U1011Z2,2,1200,,
U1146Z1,U1011Z3,2,1200,,
U1146Z1,U1011Z4,2,1200,,
U1146Z1,U1146Z5,2,180,,
U1146Z1,U1146Z6,2,180,,
U1146Z1,U1146Z7,2,120,,
U1146Z1,U1146Z8,2,120,,
U1146Z1,U1146Z22,2,300,,
U1146Z1,U1146Z23,2,240,,
U1146Z1,U1146Z24,2,240,,
U1146Z1,U1146Z25,2,60,,
U1146Z1,U1146Z26,2,60,,
U1146Z1,U1146Z98,2,360,,
U1146Z1,U1146Z99,2,360,,
U1146Z1,U1696Z1,2,1200,,
U1146Z1,U1696Z2,2,1200,,
U1146Z1,U1696Z3,2,1200,,
U1146Z1,U1696Z4,2,1200,,
U1146Z1,U1696Z5,2,1200,,
U1146Z1,U1696Z6,2,1200,,
U1146Z1,U1696Z7,2,1200,,
U1146Z1,U1696Z8,2,1200,,
U1146Z1,U1696Z9,2,1200,,
U1146Z1,U1696Z10,2,1200,,
U1146Z1,U1696Z11,2,1200,,
U1146Z1,U1696Z12,2,1200,,
U1146Z1,U1696Z13,2,1200,,
U1146Z1,U1696Z14,2,1200,,
U1146Z1,U1696Z15,2,1200,,
U1146Z1,U1696Z21,2,1200,,
U1146Z1,U1716Z1,2,300,,
U1146Z1,U1716Z2,2,300,,
U1146Z1,U1716Z3,2,300,,
U1146Z1,U1716Z4,2,300,,
U1146Z1,U1716Z6,2,300,,
U1146Z1,U1716Z7,2,300,,
U1146Z1,U1716Z8,2,300,,
U1146Z1,U1716Z9,2,300,,
U1146Z1,U1716Z11,2,300,,
U1146Z2,U1011Z1,2,1200,,
U1146Z2,U1011Z2,2,1200,,
U1146Z2,U1011Z3,2,1200,,
U1146Z2,U1011Z4,2,1200,,
U1146Z2,U1146Z5,2,180,,
U1146Z2,U1146Z6,2,180,,
U1146Z2,U1146Z7,2,120,,
U1146Z2,U1146Z8,2,120,,
U1146Z2,U1146Z22,2,300,,
U1146Z2,U1146Z23,2,240,,
U1146Z2,U1146Z24,2,240,,
U1146Z2,U1146Z25,2,60,,
U1146Z2,U1146Z26,2,60,,
U1146Z2,U1146Z98,2,360,,
U1146Z2,U1146Z99,2,360,,
U1146Z2,U1696Z1,2,1200,,
U1146Z2,U1696Z2,2,1200,,
U1146Z2,U1696Z3,2,1200,,
U1146Z2,U1696Z4,2,1200,,
U1146Z2,U1696Z5,2,1200,,
U1146Z2,U1696Z6,2,1200,,
U1146Z2,U1696Z7,2,1200,,
U1146Z2,U1696Z8,2,1200,,
U1146Z2,U1696Z9,2,1200,,
U1146Z2,U1696Z10,2,1200,,
U1146Z2,U1696Z11,2,1200,,
U1146Z2,U1696Z12,2,1200,,
U1146Z2,U1696Z13,2,1200,,
U1146Z2,U1696Z14,2,1200,,
U1146Z2,U1696Z15,2,1200,,
U1146Z2,U1696Z21,2,1200,,
U1146Z2,U1716Z1,2,300,,
U1146Z2,U1716Z2,2,300,,
U1146Z2,U1716Z3,2,300,,
U1146Z2,U1716Z4,2,300,,
U1146Z2,U1716Z6,2,300,,
U1146Z2,U1716Z7,2,300,,
U1146Z2,U1716Z8,2,300,,
U1146Z2,U1716Z9,2,300,,
U1146Z2,U1716Z11,2,300,,
U1146Z3,U1011Z1,2,1200,,
U1146Z3,U1011Z2,2,1200,,
U1146Z3,U1011Z3,2,1200,,
U1146Z3,U1011Z4,2,1200,,
U1146Z3,U1146Z5,2,180,,
U1146Z3,U1146Z6,2,180,,
U1146Z3,U1146Z7,2,120,,
U1146Z3,U1146Z8,2,120,,
U1146Z3,U1146Z22,2,300,,
U1146Z3,U1146Z23,2,240,,
U1146Z3,U1146Z24,2,240,,
U1146Z3,U1146Z25,2,60,,
U1146Z3,U1146Z26,2,60,,
U1146Z3,U1146Z98,2,360,,
U1146Z3,U1146Z99,2,360,,
U1146Z3,U1696Z1,2,1200,,
U1146Z3,U1696Z2,2,1200,,
U1146Z3,U1696Z3,2,1200,,
U1146Z3,U1696Z4,2,1200,,
U1146Z3,U1696Z5,2,1200,,
U1146Z3,U1696Z6,2,1200,,
U1146Z3,U1696Z7,2,1200,,
U1146Z3,U1696Z8,2,1200,,
U1146Z3,U1696Z9,2,1200,,
U1146Z3,U1696Z10,2,1200,,
U1146Z3,U1696Z11,2,1200,,
U1146Z3,U1696Z12,2,1200,,
U1146Z3,U1696Z13,2,1200,,
U1146Z3,U1696Z14,2,1200,,
U1146Z3,U1696Z15,2,1200,,
U1146Z3,U1696Z21,2,1200,,
U1146Z3,U1716Z1,2,300,,
U1146Z3,U1716Z2,2,300,,
U1146Z3,U1716Z3,2,300,,
U1146Z3,U1716Z4,2,300,,
U1146Z3,U1716Z6,2,300,,
U1146Z3,U1716Z7,2,300,,
U1146Z3,U1716Z8,2,300,,
U1146Z3,U1716Z9,2,300,,
U1146Z3,U1716Z11,2,300,,
U1146Z4,U1011Z1,2,1200,,
U1146Z4,U1011Z2,2,1200,,
U1146Z4,U1011Z3,2,1200,,
U1146Z4,U1011Z4,2,1200,,
U1146Z4,U1146Z5,2,180,,
U1146Z4,U1146Z6,2,180,,
U1146Z4,U1146Z7,2,120,,
U1146Z4,U1146Z8,2,120,,
U1146Z4,U1146Z22,2,300,,
U1146Z4,U1146Z23,2,240,,
U1146Z4,U1146Z24,2,240,,
U1146Z4,U1146Z25,2,60,,
U1146Z4,U1146Z26,2,60,,
U1146Z4,U1146Z98,2,360,,
U1146Z4,U1146Z99,2,360,,
U1146Z4,U1696Z1,2,1200,,
U1146Z4,U1696Z2,2,1200,,
U1146Z4,U1696Z3,2,1200,,
U1146Z4,U1696Z4,2,1200,,
U1146Z4,U1696Z5,2,1200,,
U1146Z4,U1696Z6,2,1200,,
U1146Z4,U1696Z7,2,1200,,
U1146Z4,U1696Z8,2,1200,,
U1146Z4,U1696Z9,2,1200,,
U1146Z4,U1696Z10,2,1200,,
U1146Z4,U1696Z11,2,1200,,
U1146Z4,U1696Z12,2,1200,,
U1146Z4,U1696Z13,2,1200,,
U1146Z4,U1696Z14,2,1200,,
U1146Z4,U1696Z15,2,1200,,
U1146Z4,U1696Z21,2,1200,,
U1146Z4,U1716Z1,2,300,,
U1146Z4,U1716Z2,2,300,,
U1146Z4,U1716Z3,2,300,,
U1146Z4,U1716Z4,2,300,,
U1146Z4,U1716Z6,2,300,,
U1146Z4,U1716Z7,2,300,,
U1146Z4,U1716Z8,2,300,,
U1146Z4,U1716Z9,2,300,,
U1146Z4,U1716Z11,2,300,,
U1146Z5,U1011Z1,2,1200,,
U1146Z5,U1011Z2,2,1200,,
U1146Z5,U1011Z3,2,1200,,
U1146Z5,U1011Z4,2,1200,,
U1146Z5,U1146Z1,2,180,,
U1146Z5,U1146Z2,2,180,,
U1146Z5,U1146Z3,2,180,,
U1146Z5,U1146Z4,2,180,,
U1146Z5,U1146Z5,2,120,,
U1146Z5,U1146Z6,2,120,,
U1146Z5,U1146Z7,2,120,,
U1146Z5,U1146Z8,2,120,,
U1146Z5,U1146Z9,2,120,,
U1146Z5,U1146Z10,2,120,,
U1146Z5,U1146Z11,2,120,,
U1146Z5,U1146Z21,2,120,,
U1146Z5,U1146Z22,2,180,,
U1146Z5,U1146Z23,2,120,,
U1146Z5,U1146Z24,2,120,,
U1146Z5,U1146Z25,2,240,,
U1146Z5,U1146Z26,2,240,,
U1146Z5,U1146Z31,2,120,,
U1146Z5,U1146Z98,2,120,,
U1146Z5,U1146Z99,2,120,,
U1146Z5,U1696Z1,2,1200,,
U1146Z5,U1696Z2,2,1200,,
U1146Z5,U1696Z3,2,1200,,
U1146Z5,U1696Z4,2,1200,,
U1146Z5,U1696Z5,2,1200,,
U1146Z5,U1696Z6,2,1200,,
U1146Z5,U1696Z7,2,1200,,
U1146Z5,U1696Z8,2,1200,,
U1146Z5,U1696Z9,2,1200,,
U1146Z5,U1696Z10,2,1200,,
U1146Z5,U1696Z11,2,1200,,
U1146Z5,U1696Z12,2,1200,,
U1146Z5,U1696Z13,2,1200,,
U1146Z5,U1696Z14,2,1200,,
U1146Z5,U1696Z15,2,1200,,
U1146Z5,U1696Z21,2,1200,,
U1146Z5,U1716Z1,2,300,,
U1146Z5,U1716Z2,2,300,,
U1146Z5,U1716Z3,2,300,,
U1146Z5,U1716Z4,2,300,,
U1146Z5,U1716Z6,2,300,,
U1146Z5,U1716Z7,2,300,,
U1146Z5,U1716Z8,2,300,,
U1146Z5,U1716Z9,2,300,,
U1146Z5,U1716Z11,2,300,,
U1146Z6,U1011Z1,2,1200,,
U1146Z6,U1011Z2,2,1200,,
U1146Z6,U1011Z3,2,1200,,
U1146Z6,U1011Z4,2,1200,,
U1146Z6,U1146Z1,2,180,,
U1146Z6,U1146Z2,2,180,,
U1146Z6,U1146Z3,2,180,,
U1146Z6,U1146Z4,2,180,,
U1146Z6,U1146Z5,2,120,,
U1146Z6,U1146Z6,2,120,,
U1146Z6,U1146Z7,2,120,,
U1146Z6,U1146Z8,2,120,,
U1146Z6,U1146Z9,2,120,,
U1146Z6,U1146Z10,2,120,,
U1146Z6,U1146Z11,2,120,,
U1146Z6,U1146Z21,2,120,,
U1146Z6,U1146Z22,2,180,,
U1146Z6,U1146Z23,2,120,,
U1146Z6,U1146Z24,2,120,,
U1146Z6,U1146Z25,2,240,,
U1146Z6,U1146Z26,2,240,,
U1146Z6,U1146Z31,2,120,,
U1146Z6,U1146Z98,2,120,,
U1146Z6,U1146Z99,2,120,,
U1146Z6,U1696Z1,2,1200,,
U1146Z6,U1696Z2,2,1200,,
U1146Z6,U1696Z3,2,1200,,
U1146Z6,U1696Z4,2,1200,,
U1146Z6,U1696Z5,2,1200,,
U1146Z6,U1696Z6,2,1200,,
U1146Z6,U1696Z7,2,1200,,
U1146Z6,U1696Z8,2,1200,,
U1146Z6,U1696Z9,2,1200,,
U1146Z6,U1696Z10,2,1200,,
U1146Z6,U1696Z11,2,1200,,
U1146Z6,U1696Z12,2,1200,,
U1146Z6,U1696Z13,2,1200,,
U1146Z6,U1696Z14,2,1200,,
U1146Z6,U1696Z15,2,1200,,
U1146Z6,U1696Z21,2,1200,,
U1146Z6,U1716Z1,2,300,,
U1146Z6,U1716Z2,2,300,,
U1146Z6,U1716Z3,2,300,,
U1146Z6,U1716Z4,2,300,,
U1146Z6,U1716Z6,2,300,,
U1146Z6,U1716Z7,2,300,,
U1146Z6,U1716Z8,2,300,,
U1146Z6,U1716Z9,2,300,,
U1146Z6,U1716Z11,2,300,,
U1146Z7,U1011Z1,2,1200,,
