route_id,service_id,trip_id,trip_headsign,wheelchair_accessible,block_id,direction_id,exceptional
L257D99,1,3224,"Lysice, pohostinství",2,,1,0
L257D99,1,3225,"Olešnice, nám.",2,,0,0
L256D99,1,3226,"Boskovice, aut.st.",2,,1,0
L257D99,1,3227,"Olešnice, nám.",2,,0,0
L257D99,1,3228,"Boskovice, aut.st.",2,,1,0
L252D99,1,3229,"Boskovice, aut.st.",2,,0,0
L257D99,1,3230,"Hodonín u Kunštátu",2,,0,0
L257D99,1,3231,"Boskovice, 17. listopadu",1,,1,0
L257D99,1,3232,"Kozárov",1,,0,0
L257D99,1,3233,"Boskovice, aut.st.",1,,1,0
L261D99,1,3234,"Velenov",1,,0,0
L261D99,1,3235,"Boskovice, nemocnice",1,,1,0
L257D99,1,3236,"Lysice, pohostinství",1,,0,0
L257D99,1,3237,"Boskovice, 17. listopadu",1,,1,0
L257D99,1,3238,"Olešnice, nám.",1,,0,0
L257D99,1,3239,"Boskovice, 17. listopadu",1,,1,0
L257D99,1,3240,"Kozárov",1,,0,0
L257D99,1,3241,"Lysice, pohostinství",1,,1,0
L245D99,1,3242,"Kunice",1,,1,0
L245D99,1,3243,"Lysice, pohostinství",1,,0,0
L257D99,1,3244,"Boskovice, aut.st.",1,,1,0
L257D99,1,3245,"Kozárov",1,,0,0
L257D99,1,3246,"Boskovice, 17. listopadu",1,,1,0
L257D99,1,3247,"Kozárov",1,,0,0
L257D99,1,3248,"Olešnice, nám.",1,,0,0
L257D99,1,3249,"Boskovice, 17. listopadu",1,,1,0
L257D99,1,3250,"Lomnice, náměstí",1,,0,0
L257D99,1,3251,"Lysice, škola točna",1,,1,0
L257D99,1,3252,"Boskovice, 17. listopadu",1,,1,0
L257D99,1,3253,"Lomnice, náměstí",1,,0,0
L257D99,1,3254,"Boskovice, 17. listopadu",1,,1,0
L257D99,1,3255,"Hodonín u Kunštátu",1,,0,0
L257D99,2,3256,"Boskovice, 17. listopadu",2,,1,0
L257D99,2,3257,"Lysice, pohostinství",2,,0,0
L301D99,2,3258,"Královo Pole, nádraží",2,,1,0
L41D99,2,3259,"Královo Pole, nádraží",2,,1,0
L301D99,2,3260,"Olešnice, nám.",2,,0,0
L301D99,2,3261,"Královo Pole, nádraží",2,,1,0
L301D99,2,3262,"Černá Hora, nám.",2,,0,0
L301D99,2,3263,"Lysice, pohostinství",2,127,0,0
L257D99,2,3264,"Boskovice, 17. listopadu",2,127,1,0
L257D99,2,3265,"Lysice, pohostinství",2,,0,0
